,zcta,time_period,population,Start date,end date,case count,test count,positive tests,case rate,test rate,positivity rate
86,95128,42,36975,2021-05-09,2021-05-29,16.0,3720.0,20.0,2.1,479.1,0.5
87,95128,34,36975,2020-11-22,2020-12-12,531.0,6312.0,641.0,68.4,812.9,10.2
88,95128,31,36975,2020-09-20,2020-10-10,41.0,3316.0,44.0,5.3,427.1,1.3
89,95128,66,36975,2022-09-25,2022-10-15,54.0,1584.0,60.0,7.0,204.0,3.8
90,95128,53,36975,2021-12-26,2022-01-15,1617.0,11289.0,1841.0,208.2,1453.9,16.3
91,95128,62,36975,2022-07-03,2022-07-23,327.0,2747.0,377.0,42.1,353.8,13.7
92,95128,63,36975,2022-07-24,2022-08-13,260.0,2351.0,310.0,33.5,302.8,13.2
93,95128,46,36975,2021-08-01,2021-08-21,194.0,5080.0,223.0,25.0,654.2,4.4
94,95128,58,36975,2022-04-10,2022-04-30,152.0,5458.0,188.0,19.6,702.9,3.4
95,95128,30,36975,2020-08-30,2020-09-19,43.0,2793.0,47.0,5.5,359.7,1.7
96,95127,55,66256,2022-02-06,2022-02-26,426.0,8969.0,530.0,30.6,644.6,5.9
97,95127,64,66256,2022-08-14,2022-09-03,293.0,3382.0,342.0,21.1,243.1,10.1
98,95127,23,66256,2020-04-05,2020-04-25,66.0,434.0,77.0,4.7,31.2,17.7
99,95127,46,66256,2021-08-01,2021-08-21,407.0,8307.0,479.0,29.3,597.0,5.8
100,95127,65,66256,2022-09-04,2022-09-24,144.0,2884.0,161.0,10.3,207.3,5.6
101,95127,35,66256,2020-12-13,2021-01-02,1465.0,11316.0,1633.0,105.3,813.3,14.4
102,95127,63,66256,2022-07-24,2022-08-13,532.0,3691.0,637.0,38.2,265.3,17.3
103,95127,61,66256,2022-06-12,2022-07-02,727.0,4982.0,837.0,52.3,358.1,16.8
104,95127,51,66256,2021-11-14,2021-12-04,185.0,6586.0,208.0,13.3,473.3,3.2
105,95127,53,66256,2021-12-26,2022-01-15,3627.0,17974.0,4061.0,260.7,1291.8,22.6
106,95127,36,66256,2021-01-03,2021-01-23,1477.0,12414.0,1668.0,106.2,892.2,13.4
107,95127,66,66256,2022-09-25,2022-10-15,107.0,2438.0,118.0,7.7,175.2,4.8
108,95127,56,66256,2022-02-27,2022-03-19,123.0,7013.0,159.0,8.8,504.0,2.3
109,95127,31,66256,2020-09-20,2020-10-10,127.0,3874.0,144.0,9.1,278.4,3.7
110,95127,22,66256,2020-03-15,2020-04-04,74.0,289.0,76.0,5.3,20.8,26.3
111,95127,21,66256,2020-02-23,2020-03-14,20.0,31.0,20.0,1.4,2.2,64.5
112,95127,18,66256,2019-12-22,2020-01-11,0.0,4352.0,108.5,0.0,0.1,0.0
113,95127,58,66256,2022-04-10,2022-04-30,264.0,5666.0,336.0,19.0,407.2,5.9
114,95127,25,66256,2020-05-17,2020-06-06,41.0,1535.0,52.0,2.9,110.3,3.4
115,95127,57,66256,2022-03-20,2022-04-09,118.0,6013.0,164.0,8.5,432.2,2.7
116,95127,34,66256,2020-11-22,2020-12-12,1211.0,9858.0,1348.0,87.0,708.5,13.7
117,95127,29,66256,2020-08-09,2020-08-29,262.0,4002.0,293.0,18.8,287.6,7.3
118,95127,24,66256,2020-04-26,2020-05-16,35.0,986.0,85.0,2.5,70.9,8.6
119,95127,33,66256,2020-11-01,2020-11-21,471.0,6314.0,537.0,33.9,453.8,8.5
120,95127,44,66256,2021-06-20,2021-07-10,55.0,3557.0,63.0,4.0,255.6,1.8
121,95127,59,66256,2022-05-01,2022-05-21,540.0,8247.0,659.0,38.8,592.7,8.0
122,95127,50,66256,2021-10-24,2021-11-13,129.0,6957.0,147.0,9.3,500.0,2.1
123,95127,45,66256,2021-07-11,2021-07-31,153.0,4661.0,184.0,11.0,335.0,3.9
124,95127,47,66256,2021-08-22,2021-09-11,316.0,10613.0,387.0,22.7,762.8,3.6
125,95127,49,66256,2021-10-03,2021-10-23,141.0,7164.0,164.0,10.1,514.9,2.3
126,95127,60,66256,2022-05-22,2022-06-11,728.0,7355.0,861.0,52.3,528.6,11.7
127,95127,67,66256,2022-10-16,2022-11-05,40.0,1276.0,49.0,2.9,91.7,3.8
128,95127,54,66256,2022-01-16,2022-02-05,2265.0,16825.0,2905.0,162.8,1209.2,17.3
129,95127,27,66256,2020-06-28,2020-07-18,266.0,4059.0,287.0,19.1,291.7,7.1
130,95127,62,66256,2022-07-03,2022-07-23,715.0,4474.0,862.0,51.4,321.6,19.3
131,95127,43,66256,2021-05-30,2021-06-19,13.0,3848.0,16.0,0.9,276.6,0.4
132,95127,40,66256,2021-03-28,2021-04-17,119.0,6125.0,141.0,8.6,440.2,2.3
133,95127,52,66256,2021-12-05,2021-12-25,265.0,7271.0,302.0,19.0,522.6,4.2
134,95127,39,66256,2021-03-07,2021-03-27,100.0,5982.0,134.0,7.2,429.9,2.2
135,95127,32,66256,2020-10-11,2020-10-31,172.0,4586.0,202.0,12.4,329.6,4.4
136,95127,28,66256,2020-07-19,2020-08-08,293.0,4204.0,338.0,21.1,302.1,8.0
137,95127,41,66256,2021-04-18,2021-05-08,77.0,6304.0,97.0,5.5,453.1,1.5
138,95127,42,66256,2021-05-09,2021-05-29,32.0,5158.0,47.0,2.3,370.7,0.9
139,95127,38,66256,2021-02-14,2021-03-06,238.0,6684.0,284.0,17.1,480.4,4.2
140,95127,30,66256,2020-08-30,2020-09-19,203.0,3546.0,233.0,14.6,254.9,6.6
141,95127,26,66256,2020-06-07,2020-06-27,101.0,2783.0,119.0,7.3,200.0,4.3
142,95127,48,66256,2021-09-12,2021-10-02,154.0,9047.0,200.0,11.1,650.2,2.2
143,95127,37,66256,2021-01-24,2021-02-13,499.0,8555.0,622.0,35.9,614.9,7.3
144,95035,28,79655,2020-07-19,2020-08-08,130.0,3353.0,148.0,7.8,200.4,4.4
145,95035,34,79655,2020-11-22,2020-12-12,580.0,9670.0,638.0,34.7,578.1,6.6
146,95035,64,79655,2022-08-14,2022-09-03,291.0,3645.0,336.0,17.4,217.9,9.2
147,95035,26,79655,2020-06-07,2020-06-27,39.0,2497.0,39.0,2.3,149.3,1.6
148,95035,54,79655,2022-01-16,2022-02-05,1606.0,17383.0,2067.0,96.0,1039.2,11.9
149,95035,49,79655,2021-10-03,2021-10-23,81.0,15599.0,92.0,4.8,932.5,0.6
150,95035,48,79655,2021-09-12,2021-10-02,105.0,19134.0,113.0,6.3,1143.9,0.6
151,95035,31,79655,2020-09-20,2020-10-10,63.0,4398.0,77.0,3.8,262.9,1.8
152,95035,44,79655,2021-06-20,2021-07-10,44.0,5023.0,46.0,2.6,300.3,0.9
153,95035,25,79655,2020-05-17,2020-06-06,13.0,1511.0,18.0,0.8,90.3,1.2
154,95035,63,79655,2022-07-24,2022-08-13,496.0,4325.0,614.0,29.7,258.6,14.2
155,95035,56,79655,2022-02-27,2022-03-19,131.0,7989.0,173.0,7.8,477.6,2.2
156,95035,39,79655,2021-03-07,2021-03-27,99.0,7334.0,109.0,5.9,438.4,1.5
157,95035,42,79655,2021-05-09,2021-05-29,12.0,7144.0,18.0,0.7,427.1,0.3
158,95035,43,79655,2021-05-30,2021-06-19,12.0,5420.0,18.0,0.7,324.0,0.3
159,95035,41,79655,2021-04-18,2021-05-08,88.0,7797.0,112.0,5.3,466.1,1.4
160,95035,22,79655,2020-03-15,2020-04-04,36.0,247.0,37.0,2.2,14.8,15.0
161,95035,21,79655,2020-02-23,2020-03-14,91.0,19.0,108.5,0.3,1.1,26.3
